;Inputs for Algorithm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id;Total working experience;Bachelor FHNW;Master FHNW;Biology;Psychology;Engineering;Informatics;Finance;Business;Management;Education;Medicine;Other;Social;Marketing;Economics;Communication;Environment;Pharrmaceuticals;Construction;Chemistry;HR;Accounting;Geomatics;Design;Analytics;Sciences;Architecture;Otherr;Eduation
00076028-80cb-4d74-95ae-52eb1c3a9334;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0012a284-f307-4ab6-9c66-53f5c4bea2c4;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00681d68-eb4a-4805-9623-51aa055e9f97;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
007aa9cf-1593-482c-9678-8e5ac6027cba;17;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
007ba571-1e7c-4289-96a4-00598258dceb;10;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
007fbe20-856f-4995-a152-6aaa095e48ee;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0086dc26-5732-4307-89a5-96a7cceb8cb7;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009733ee-32f2-4616-965f-4fb74c250af4;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00ac6a99-1e9b-4e9c-bfc3-15164e3d424b;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00afb329-f84a-4df6-9a51-19907e951d80;7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00b36656-278d-400c-b2e2-34de600068b3;7;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00b39a8a-eec6-4a95-af4b-f05fbdf80a51;7;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00bd490c-05ab-4259-b138-915411a85d8a;10;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00c55ffe-714f-4334-aec4-f829730ae356;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00cc91d5-fb3c-4146-94a0-60662da23f8d;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00f29641-5830-476e-bccf-0a481c8a42ac;7;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00f8afe7-82f0-42dc-9699-fdab3ae6125d;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01012a8a-f6e0-4da3-b08c-4e3bf2b9a4f1;15;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01073db7-e491-4d51-a1e3-96affead3c9b;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010c47bd-0989-4f74-a98f-d431e605a536;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013a7073-ff08-409a-ae02-a2d8153e42b6;13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013e6a72-4b33-4db0-8ba6-44866e0f12b1;11;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
017bc8da-6244-4233-84d2-f7be49013cc8;11;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01a4768a-ea7f-4314-9232-13a3814a5931;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01a5d20a-6b6d-423d-8ccc-2aa688a97d5d;13;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01ac57ac-8459-48d5-b493-0281375404af;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01b66a1b-9006-461c-8d92-70697911ce99;10;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01c4dd47-d926-4bed-9a83-1b95a4150163;20;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01dc47c1-df4b-4bcd-adf9-8bc2d148b840;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01dd1b7e-d267-4c94-893c-06c88dbf4189;23;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01de40cc-1da8-4ba8-8e67-02a668cfcb35;8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01e93a00-f80d-4d32-95a3-9003560e0578;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01f91e61-92c9-4552-9612-5c78ecd14696;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0225d120-1908-4e1f-8c88-1495a50a073b;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
023a7176-6d05-4a00-9a44-784d239b731b;12;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0244dbf9-b9d0-42ca-8fbd-332cc7b47c88;9;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0262dd16-e15f-4927-9eeb-9e97a738a214;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02634643-7b91-4a88-a975-97fd6aa51d26;11;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
026be5ef-bbd2-4b4b-bfec-46c5a607ff66;17;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02702757-7907-430b-ad8b-245a23d2d85a;22;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02807a48-d348-4526-bc67-3d585cf77963;14;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0281ed40-0a9b-4008-a7f3-004caf99c2ed;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
029bf7cc-bcbf-4b54-a14e-b1304c6e3f2f;17;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
029d6abe-6892-4e0d-9731-1cbe277946d6;20;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
02afa67a-c2bf-441c-80bc-38484ac982fb;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02b87644-dfa1-4e54-b721-1f7da3fd07c8;15;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
02c7ecd2-6185-4932-82e2-9585d2443f49;15;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02d481b2-d34e-4557-a1a6-42112c1a2785;12;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02dd6c4c-bdbe-4a18-8409-834849dfb3cd;16;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02e8ef45-c32d-4f71-b74a-79cb9bad6f86;9;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02eab0cf-cb42-438e-8ca3-b7bdaaea587a;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02edb9e7-6b6c-4283-a45a-29f909f07b30;5;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0338a943-9d37-4f15-94fd-4e77ca235581;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
033e3d6e-6bc3-4d21-a344-be6bd313575b;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
033f4673-5ec9-41a4-b3d4-e011f4ef2b67;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0344e2d8-8b39-4f7a-982b-69769335ded0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
035f1f6a-151b-43b9-8643-8d627f7069f2;15;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03674931-b0c6-4690-be49-f228bfbbe898;7;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03713b84-0feb-4d62-8f90-fc6f404f7c35;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03830575-5c60-43d4-a1a9-5adbe9b25837;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
038834e2-690f-4837-95ff-92abe017db83;11;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
039240c9-50ac-4448-8a15-43342eef598e;7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0396a7c9-8d17-4746-a4c3-9d1a395bf26c;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03a88a5b-4a59-457f-84cc-9c3140e49730;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03b0a28d-3d6a-4625-9352-927d2c87eea4;10;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03b90930-9296-44e0-9180-fe464f717299;10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03e3269c-9754-404e-87dd-d3c61d473b14;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03ed1e93-ff5d-47d3-8734-3a2d13a6a939;9;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03fb2cc4-5c78-43f7-aab1-fe993ac76de0;15;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03fda4d1-6f1a-4e86-a6fe-35ec155d3144;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
041f64b2-9238-4c9a-9647-ed847d6d4832;8;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04221e67-e981-4141-a270-0312722d279c;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
042b70e6-1225-45a0-815e-784ad0c6f856;12;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
043180dd-5053-4054-8795-b56a52a700cb;20;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
043357c5-2064-462a-8e11-03fa28ba4840;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
043a17e1-5630-4417-85b0-ed569861f7e0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
043bd638-f6ba-4f76-8046-bce6b75fd23b;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0460f19d-6469-4ea6-aafa-01f0c8ecc0c5;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
04616f35-6449-4d0a-96f2-08acc4bce723;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
