id;Bachelor FHNW;Master FHNW
00076028-80cb-4d74-95ae-52eb1c3a9334;1;0
0012a284-f307-4ab6-9c66-53f5c4bea2c4;1;0
00681d68-eb4a-4805-9623-51aa055e9f97;1;0
007aa9cf-1593-482c-9678-8e5ac6027cba;0;1
007ba571-1e7c-4289-96a4-00598258dceb;1;0
007fbe20-856f-4995-a152-6aaa095e48ee;0;1
0086dc26-5732-4307-89a5-96a7cceb8cb7;1;0
009733ee-32f2-4616-965f-4fb74c250af4;1;0
00ac6a99-1e9b-4e9c-bfc3-15164e3d424b;1;0
00afb329-f84a-4df6-9a51-19907e951d80;1;0
00b36656-278d-400c-b2e2-34de600068b3;1;0
00b39a8a-eec6-4a95-af4b-f05fbdf80a51;0;1
00bd490c-05ab-4259-b138-915411a85d8a;1;1
00c55ffe-714f-4334-aec4-f829730ae356;1;0
00cc91d5-fb3c-4146-94a0-60662da23f8d;1;1
00f29641-5830-476e-bccf-0a481c8a42ac;2;0
00f8afe7-82f0-42dc-9699-fdab3ae6125d;1;0
01012a8a-f6e0-4da3-b08c-4e3bf2b9a4f1;1;0
01073db7-e491-4d51-a1e3-96affead3c9b;1;0
010c47bd-0989-4f74-a98f-d431e605a536;1;0
013a7073-ff08-409a-ae02-a2d8153e42b6;0;1
013e6a72-4b33-4db0-8ba6-44866e0f12b1;1;1
017bc8da-6244-4233-84d2-f7be49013cc8;0;1
01a4768a-ea7f-4314-9232-13a3814a5931;0;1
01a5d20a-6b6d-423d-8ccc-2aa688a97d5d;1;0
01ac57ac-8459-48d5-b493-0281375404af;1;0
01b66a1b-9006-461c-8d92-70697911ce99;1;1
01c4dd47-d926-4bed-9a83-1b95a4150163;0;1
01dc47c1-df4b-4bcd-adf9-8bc2d148b840;1;0
01dd1b7e-d267-4c94-893c-06c88dbf4189;1;0
01de40cc-1da8-4ba8-8e67-02a668cfcb35;0;1
01e93a00-f80d-4d32-95a3-9003560e0578;1;0
01f91e61-92c9-4552-9612-5c78ecd14696;1;0
0225d120-1908-4e1f-8c88-1495a50a073b;1;0
023a7176-6d05-4a00-9a44-784d239b731b;1;1
0244dbf9-b9d0-42ca-8fbd-332cc7b47c88;1;0
0262dd16-e15f-4927-9eeb-9e97a738a214;1;0
02634643-7b91-4a88-a975-97fd6aa51d26;0;1
026be5ef-bbd2-4b4b-bfec-46c5a607ff66;1;0
02702757-7907-430b-ad8b-245a23d2d85a;1;1
02807a48-d348-4526-bc67-3d585cf77963;1;0
0281ed40-0a9b-4008-a7f3-004caf99c2ed;1;0
029bf7cc-bcbf-4b54-a14e-b1304c6e3f2f;1;1
029d6abe-6892-4e0d-9731-1cbe277946d6;1;1
02afa67a-c2bf-441c-80bc-38484ac982fb;0;1
02b87644-dfa1-4e54-b721-1f7da3fd07c8;1;1
02c7ecd2-6185-4932-82e2-9585d2443f49;1;0
02d481b2-d34e-4557-a1a6-42112c1a2785;1;1
02dd6c4c-bdbe-4a18-8409-834849dfb3cd;1;0
02e8ef45-c32d-4f71-b74a-79cb9bad6f86;1;0
02eab0cf-cb42-438e-8ca3-b7bdaaea587a;1;0
02edb9e7-6b6c-4283-a45a-29f909f07b30;1;1
0338a943-9d37-4f15-94fd-4e77ca235581;1;0
033e3d6e-6bc3-4d21-a344-be6bd313575b;1;0
033f4673-5ec9-41a4-b3d4-e011f4ef2b67;1;0
0344e2d8-8b39-4f7a-982b-69769335ded0;1;0
035f1f6a-151b-43b9-8643-8d627f7069f2;1;1
03674931-b0c6-4690-be49-f228bfbbe898;1;1
03713b84-0feb-4d62-8f90-fc6f404f7c35;1;0
03830575-5c60-43d4-a1a9-5adbe9b25837;1;0
038834e2-690f-4837-95ff-92abe017db83;1;1
039240c9-50ac-4448-8a15-43342eef598e;1;0
0396a7c9-8d17-4746-a4c3-9d1a395bf26c;1;0
03a88a5b-4a59-457f-84cc-9c3140e49730;1;0
03b0a28d-3d6a-4625-9352-927d2c87eea4;1;0
03b90930-9296-44e0-9180-fe464f717299;1;0
03e3269c-9754-404e-87dd-d3c61d473b14;1;0
03ed1e93-ff5d-47d3-8734-3a2d13a6a939;1;0
03fb2cc4-5c78-43f7-aab1-fe993ac76de0;1;1
03fda4d1-6f1a-4e86-a6fe-35ec155d3144;1;0
041f64b2-9238-4c9a-9647-ed847d6d4832;1;0
04221e67-e981-4141-a270-0312722d279c;0;1
042b70e6-1225-45a0-815e-784ad0c6f856;0;1
043180dd-5053-4054-8795-b56a52a700cb;1;0
043357c5-2064-462a-8e11-03fa28ba4840;1;0
043a17e1-5630-4417-85b0-ed569861f7e0;1;0
043bd638-f6ba-4f76-8046-bce6b75fd23b;1;0
0460f19d-6469-4ea6-aafa-01f0c8ecc0c5;1;0
04616f35-6449-4d0a-96f2-08acc4bce723;1;0
0469dd50-1ace-4d2c-8c62-4574d0068d75;0;1
049899cb-f874-4b49-b181-b71d6fb00383;1;0
04d6cf1a-666d-4269-a93e-e7df567ba4a2;1;0
04de9f23-1f9d-46ed-bc9a-16ee0e3d78d6;0;1
04e44918-70ef-4213-8066-a6f72f540898;1;0
04eec84e-f56b-4241-ad72-db10ec93741f;0;1
05278e2c-dfd0-4e0a-a14c-9293dd1677e3;0;1
0543aa6d-be0a-420a-beaf-9a2ac140c420;1;0
0560e719-67b3-4c51-873f-2591bb58485f;1;0
056a06cb-1dd1-4648-8a98-41f7ba311870;1;0
056f1f9a-da7e-4e13-a358-24d354063625;1;0
05875c94-6009-4c16-b7fd-aeeb92619bcd;1;0
059e69bb-fc24-4bd2-a2db-a35bfd1fd7b9;1;0
05b14747-5f6d-482b-ae77-83ded7ff02c5;0;1
05b1e084-f497-4573-9759-8c69d406f47a;1;0
05de4ad6-dc42-4cd2-9fb6-3780760754cd;1;1
0610a5ee-c440-4da7-963a-4271613a612f;0;1
0620f0cf-1ef1-4271-92e8-f27a2a038d9b;1;0
06487403-1a3d-4b03-94b8-f108089d0b59;0;1
06848a67-a86e-4e07-9496-c81103e53012;1;0
068912e4-b572-4d4b-89ab-93d905181e7d;1;0
0697d46e-c5d9-4052-8943-7d3fc2a2e42d;1;1
06b5bcd3-8b86-44e4-878c-571e95a00e0f;1;0
06ba2bff-874d-4e36-9e2e-da2beed95966;0;1
06d05685-729a-4420-ae41-d561599ee3df;1;1
06d45885-ba64-4efe-8624-e2947fb3a8b1;1;0
06dd0e3e-f32f-4d2f-b76c-af7de8da40f5;1;0
06e082dd-3492-4a31-a90b-cac5f54d867c;1;0
06f1f19d-b45f-46c1-9a69-3dbf98a8fc1e;1;0
0704b668-28cc-4a74-88bb-adfb65e0177b;1;0
074662e3-ae59-45ed-90b4-df4de0f5ab43;1;1
07550660-9845-4172-8568-4ae23e34b86d;1;0
075b053d-bf31-4193-988f-5edacd2882e8;1;0
075fdd66-b080-4b7f-b420-e60066ea38e3;1;0
07609d33-3281-4fa5-81ea-e5bd93ababc8;1;0
076242c7-d2e0-4468-8e97-421605f68236;1;0
0762a64f-e596-4715-87c5-472a716484c2;1;0
07736fc1-5f80-42b8-8fe8-52e7588660b5;1;0
0773a2a4-081a-456f-914c-efbd9453de8e;1;0
077d27d0-3b09-4c7a-9479-1f7ed2de7369;1;1
07b0cf6a-8ade-4ebe-a119-243697a25085;1;0
07f288b0-a68a-48d6-82fa-66839eaf4dce;1;0
081458bf-6500-406b-bf1b-552c11584d19;1;1
08298ac4-51ef-4330-8c66-d2cb2c1b35ea;0;1
082ceb21-d04c-4818-8c57-b0e61dc04c6b;1;0
08617cc5-450d-4645-a6c6-97934463e31a;0;1
08630207-afb7-4b93-90d2-711f1767e62c;1;0
087c7ebb-7fd7-4b55-b907-f781de9a9854;0;1
08864685-3967-4f9a-a581-4e498085a2c9;0;1
0895e6c7-4e00-4885-a053-47054a763676;0;1
0896b7bd-4bb2-45f4-9dda-b3fc917be7c2;1;0
0897919c-8ac0-4e4e-a470-6a7038d0f7ef;1;0
08a21b96-aae2-48da-8685-a86ff0f6a340;1;1
08cc4eb7-2c53-411d-8b91-053cd23a8f35;1;0
08d0a08a-cf4a-46b2-bd51-b77eb54dcc3e;1;0
08d96b8f-5b9b-4061-a8e6-8d3a4461bb18;1;0
08deb835-804c-4c5f-ba31-23a72dddb82a;1;0
08f55575-9906-4b3c-a88e-bc0cb1787443;1;0
090cd903-b9f9-44bc-bfd6-9a2f50f9beb8;1;0
09150bd4-e0dc-4a87-94f1-1affe66df01a;0;1
09244582-2ffb-43f3-8bc0-c4e11be6d93e;1;0
093da177-89f2-4d2f-83b5-1997b4748e6f;1;0
09609059-1900-4d99-8bdc-828dd171a5f2;1;0
096a3539-47aa-4408-9faa-4215124ace10;1;1
096f7df1-80e5-48c3-8bd5-4d9bd05197fc;1;0
0971b7bb-5472-4899-983f-68f6deef2a3b;1;1
0974b2ca-6888-464c-baec-2bfe5a10443f;1;0
097aa8cd-9f04-482f-9f58-7d239c4099ce;0;1
0994a2d1-3170-4a74-b529-dd09e13d374b;1;0
09abfff6-7e3d-4579-b9d1-1f1fa851be23;1;0
09af6c9e-56e1-42b9-978b-1e6b940a8eb2;1;0
09b5f3cc-bf55-47ec-920f-347d29a24617;1;0
